canon	variant
El-Hirbe	Nesher-Ramla quarry
El-Khawarij	El-Khawarij
Erbaba	Erbaba
Erbaba	Erbaba Höyük
Eridu	Eridu
Eridu	Tell Abu Shahrain
Eridu	Tel Abu Shahrain
Es Sifiya	Es Sifiya
Es Sinn	Es Sinn
Esentepe Agirsu	Esentepe Agirsu
Evrona	Evrona
Fatmali Kalecik	Fatmali Kalecik
Feyda	Feyda
Feyda	Tell Feyda
Fistikli Höyük	Fistikli Höyük
Gadachrili Gora	Gadachrili Gora
Ganj Dareh	Ganj Dareh
Ganj Dareh	Ganj Dareh Tepe
Ganj Dareh	Tepe Ganj Dareh
Gargalar	Gargalar
Gaz Tavileh	Gaz Tavileh
Gebel Mishraq	Gebel Mishraq
Gesher	Gesher
Gesher Benot Ya'aqov	Gesher Benot Ya'aqov
Gesher Benot Ya'aqov	Gesher Benot Yaaqov
Ghuwayr 1	Ghuwayr 1
Gilat	Gilat
Gilgal I	Gilgal
Gilgal I	Gilgal I
Gird Ali Agha	Gird Ali Agha
Gird-i Rostam	Gird-i Rostam
Girikihaciyan	Girikihaciyan
Girikihaciyan	Girikihaciyan (Gerikihaciyan - Ekinciyan)
Girmeler	Girmeler
Givat ha'Oranim	Givat ha'Oranim
Grai Resh	Grai Resh
Gritille	Gritille
Gurga Chiya	Gurga Chiya
Gusir Höyük	Gusir Höyük
Göbekli Tepe	Göbekli Tepe
Göltepe	Göltepe
Görüklük Tepe	Görüklük Tepe
Görüklük Tepe	Suberde (Görüklük Tepe)
Görüklük Tepe	Suburde
Göytepe	Göytepe
Güvercinkayasi	Güvercinkayasi
Habuba Kabira	Habuba Kabira
Haci Elamxanli Tepe	Haci Elamxanli Tepe
Hacinebi Tepe	Hacinebi Tepe
Hacinebi Tepe	Hacinebi
Hacılar	Hacılar
Hagoshrim	Hagoshrim
Hajji Firuz	Hajji Firuz
Hajji Firuz	Hajji Firuz Tepe
Halaf	Halaf
Halaf	Tell Halaf
Hallan Çemi	Hallan Çemi
Hallan Çemi	Hallan Çemi Tepesi
Halula	Halula
Hamifgash 4	Hamifgash 4
Har Harif 3	Har Harif 3
Hariz	Hariz
Hasankey Höyük	Hasankey Höyük
Hasankey Höyük	Hasankeyf Höyük
Hassansu	Hassansu
Hassek Höyük	Hassek Höyük
Hassuna	Hassuna
Hatoula	Hatoula
Hayaz Höyük	Hayaz Höyük
Hayonim Cave	Hayonim Cave
Hayonim Cave	Hayonim cave
Hayonim Terrace	Hayonim Terrace
Hilazon Tachtit	Hilazon Tachtit
Hoca Çesme	Hoca Çesme
Horbat 'Uza	Horbat 'Uza
Horvat Beter	Horvat Beter
Horvat Galil	Horvat Galil
Hotu	Hotu
Hujayrat al-Ghuzlan	Hujayrat al-Ghuzlan
Höyücek	Höyücek
Höyücek	Höyücek Höyük
Iblis	Iblis
Ikiztepe	Ikiztepe
Ilipinar	Ilipinar
Ilipinar	lipinar
Imiris Gora	Imiris Gora
Iraq ed-Dubb	'Iraq ed Dubb
Iraq ed-Dubb	'Iraq ed-Dubb
Iraq ed-Dubb	Iraq ed Dubb
Iraq ed-Dubb	Iraq ed-Dubb
Iraq el-Barud	Iraq el-Barud
Issaron	Issaron
Jaffarabad	Jaffarabad
Jani	Jani
Jarba	Jarba
Jari A	Jari A
Jari A	Tal-i Jari A
Jari A	Tall-e Jari A
Jari B	Jari B
Jari B	Tal-i Jari B
Jari B	Tall-e Jari B
Jarmo	Jarmo
Jarmo	Qal'at Jarmo
Jebel Abu Thawwab	Er Rumman
Jebel Abu Thawwab	Er-Rumman
Jebel Abu Thawwab	Jebel Abu Thawwab
Jebel Abu Thawwab	Jebel Abu Thawwb (Er-Rumman)
Jebel Adida	Jebel Adida
Jebel Mokhyat	Jebel Mokhyat
Jebel Naja	Jebel Naja
Jebel Oraf 115	Jebel Oraf 115
Jebel Oraf 2	Jebel Oraf 2
Jebel Qattar 101	Jebel Qattar 101
Jebel Queisa	Jebel Queisa
Jerf el Ahmar	Jerf al Ahmar
Jerf el Ahmar	Jerf el Ahmar
Jubbah	Jubbah
Kalavan 1	Kalavan 1
Kalavasos Ayios Dhimitrios	Kalavasos Ayios Dhimitrios
Kalavasos Kokkinoyia	Kalavasos Kokkinoyia
Kalavasos Pamboules	Kalavasos Pamboules
Kalavasos Tenta	Kalavasos Tenta
Kalavasos Tenta	Kalavasos Tenta (5-1)
Kalavasos Vasiliko	Kalavasos Vasiliko
Kalavasos-Ayious	Kalavasos-Ayious
Kamiltepe	Kamiltepe
Kandou Kofovounos	Kandou Kofovounos
Karain	Karain
Karain	Karain cave
Karintak	Karintak
Kashkashok I	Kashkashok I
Kashkashok II	Kashkashok II
Kastros	Kastros
Kazane Höyük	Kazane Höyük
Kebara	Kebara
Kebara	Kebara Cave
Kebara	Kebara cave
Kefar Galim	Kefar Galim
Kenan Tepe	Kenan Tepe
Kfar HaHoresh	Kfar HaHoresh
Kfar Samir	Kfar Samir
Kharaneh IV	Kharaneh IV
Khashim et-Tarif	Khashim et-Tarif
Khirbat Faynan	Khirbat Faynan
Khirbet Hammam	Khirbet Hammam
Khirokitia	Khirokitia
Khirokitia Vouni	Khirokitia Vouni
Kholetria Ortos	Kholetria Ortos
Khor FPP	Khor FPP
Khor Milkh 1	Khor Milkh 1
Khramis Didi Gora	Khramis Didi Gora
Khushum Rumayyid	Khushum Rumayyid
Khuzma as-Shumlya	Khuzma as-Shumlya
Kissonerga Mosphilia	Kissonerga Mosphilia
Kissonerga Mylouthkia	Kissonerga Mylouthkia
Klimonas	Klimonas
Kmlo-2	Kmlo-2
Korucutepe	Korucutepe
Kosak Shamali	Kosak Shamali
Kotias Klde	Kotias Klde
Kotias Klde	Kotias Klde, Sveri
Kul Tepe Jolfa	Gargar Tepesi
Kul Tepe Jolfa	Kul Tapeh
Kul Tepe Jolfa	Kul Tepe
Kul Tepe Jolfa	Kul Tepe Jolfa
Kul Tepe Jolfa	Kul Tepe Jolfa (Hadishahr)
Kumartepe	Kumartepe
Kumtepe	Kumtepe
Kuruçay Höyük	Kuruçay Höyük
Kvish Harif	Kvish Harif
Kömürcü-Kaletepe	Kömürcü-Kaletepe
Körtik Tepe	Ko¨rtik Tepe
Körtik Tepe	Körtik Tepe
Kösk Höyük	Kösk Höyük
Kültepe	Kültepe
Labweh	Labweh
Lemba Lakkous	Lemba Lakkous
M'lefaat	M'lefaa
M'lefaat	M'lefaat
M'lefaat	Mlefaat
Maaleh Ramon East	Maaleh Ramon East
Maaleh Ramon West	Maaleh Ramon West
Machar	Machar
Mahfour al-Ruweishid	Mahfour al-Ruweishid
Manayzah	Manayzah
Masis Blur	Masis Blur
Matarrah	Matarrah
Megadim	Megadim
Mentese Höyük	Mentese Höyük
Mentesh Tepe	Mentesh Tepe
Mezad Mazal	Mezad Mazal
Mezraa Teleilat	Mezraa Teleilat
Modi'in	Modi'in
Moghr El Ahwal C2	Moghr El Ahwal C2
Moghr El Ahwal C2	Moghr El Ahwal cave 2
Moghr El Ahwal C3	Moghr El Ahwal C3
Moghr El Ahwal C3	Moghr El Ahwal cave 3
Motza	Motza
Moyat Daba'iya	Moyat Daba'iya
Munhata	Munhata
Mureybet	Mureybet
Mureybet	Mureybet I-III
Mureybet	Mureybet IV
Musular	Musular
Mylouthkia	Mylouthkia
Mylouthkia	Mylouthkia (IA)
Nachcharini	Nachcharini
Nahal Divshon	Nahal Divshon
Nahal Efe	Nahal Efe
Nahal Ein Gev II	Nahal Ein Gev II
Nahal Hemar	Nahal Hemar
Nahal Hever	Nahal Hever
Nahal Issaron	Nahal Issaron
Nahal Mishmar	Nahal Mishmar
Nahal Neqarot	Nahal Neqarot
Nahal Oren	Nahal Oren
Nahal Qanah	Nahal Qanah
Nahal Reu'el	Nahal Reu'el
Nahal Sekher	Nahal Sekher
Nahal Sekher 23	Nahal Sekher 23
Nahal Sekher 23	Sekher 23
Nahal Sekher VI	Nahal Sekher VI
Nahal Sekher VI	Sekher 6
Nahal Zehora II	Nahal Zehora
Nahal Zehora II	Nahal Zehora II
Nahal Zin	Nahal Zin
Nemrik 9	Nemrik 9
Netiv Hagdud	Netiv Hagdud
Nevalı Çori	Nevalı Çori
Neve David	Neve David
Neve Yam	Neve Yam
Neve' Yereq	Neve' Yereq
Neve' Yereq	Neve' Yereq (Lod)
Nissi Beach	Nissi Beach
Nizzanim	Nizzanim
Norsuntepe	Norsuntepe
Ohalo II	Ohalo II
Okçular Kale İni	Okçular Kale İni
Ovçular Tepesi	Ovçular Tepesi
Palegawra	Palegawra
Paralimni Nissia	Paralimni Nissia
Pasargades	Pasargades
Pella	Pella
Peqi'in	Peqi'in
Peqi'in	Peqi'in cave
Philia Drakos A	Philia Drakos A
Pisdeli Tepe	Pisdeli Tepe
Pınarbaşı	Pınarbaşı
Pınarbaşı	Pınarbaşı Gölü
Qala'at el Mudiq	Qala'at el Mudiq
Qatif Y-3	Qatif Y-3
Qdeir 1	Qdeir 1
Qermez Dere	Qermez Dere
Qumran C24	Qumran C24
Qumran C24	Qumran cave 24
Qumran C7	Qumran C7
Qumran C7	Qumrane cave C-7
RASA 037-3	RASA 037-3
RASA 037-3	SU 037-3, Khuzmum Wadi Sana
RASA C67-2	C67-2, Wadi Sana
RASA C67-2	RASA C67-2
RASA SU151-1	RASA SU151-1
RASA SU151-1	SU 151-1, Kheshiya Wadi Sana
Ra's al-Hamra 4	Ra's al-Hamra 4
Ra's al-Hamra 5	Ra's al-Hamra 5
Ra's al-Hamra 6	Ra's al-Hamra 6
Rahmatabad	Rahmatabad
Ramad	Ramad
Ramat Harif	Ramat Harif
Ramat Harif	Ramat Harif (G VIII)
Ramat Harif	Ramat Harif (G8)
Ramat Harif	Ramat Harif G 8
Ramot Nof	Ramot Nof
Raqefet	Rakefet cave
Raqefet	Raqefet
Raqefet	Raqefet cave
Ras Ibn Hani	Ras Ibn Hani
Ras Shamra	Ras Shamra
Ras Shamra	Ras Shamra (Ugarit)
Rasm Harbush	Rasm Harbush
Risqeh	Rezga
Risqeh	Rezga (Risqeh)
Risqeh	Risqeh
Rosh Horesha	Rosh Horesha
Saad II	Saad II
Sabi Abyad I	Sabi Abyad I
Sabi Abyad I	Tell Sabi Abyad I
Sabi Abyad II	Sabi Abyad II
Sabi Abyad II	Tell Sabi Abyad II
Sabi Abyad III	Sabi Abyad III
Sabi Abyad III	Tell Sabi Abyad III
Sabi Abyad IV	Sabi Abyad IV
Sabi Abyad IV	Tell Sabi Abyad IV
Saflulim	Saflulim
Sagalassos	Sagalassos
Sakazhia	Sakazhia
Sakazhia	Sakazhia cave
Salat Cami Yanı	Salat Cami Yanı
Salat Cami Yanı	Salat Camii Yanı
Salat Tepe	Salat Tepe
Sang-e Chakhmaq East	Sang-e Chakhmaq East
Sang-e Chakhmaq East	Tappeh Sang-e Chakhmaq East
Sang-e Chakhmaq West	Sang-e Chakhmaq West
Sang-e Chakhmaq West	Tappeh Sang-e Chakhmaq West
Sang-i-Chakhmaq East	Sang-i-Chakhmaq East
Sarab	Sarab
Sarab	Tepe Sarab
Saruq	Saruq
Sataf	Sataf
Satsurblia	Satsurblia
Satsurblia	Sutsurblia
Sedd Adh-Dhra'a II	Sedd Adh-Dhra'a II
Sedd Adh-Dhra'a II	Sedd Adh-Dhra´a II
Seh Gabi B	Seh Gabi B
Seh Gabi C	Seh Gabi C
Serabit el-Khadim	Serabit el-Khadim
Sha'ar Hagolan	Sha'ar Hagolan
Sheikh-e Abad	Sheikh-e Abad
Shillourokambos	Shillourokambos
Shillourokambos	Shillourokambos, Parekklisia
Shimshara	Shimshara
Shiqmim	Shiqmim
Shir	Shir
Shkarat Msaied	Shkarat Msaied
Shluhat Qeren II	Shluhat Qeren II
Shoham	Shoham
Shomu	Shomu
Shubayqa 1	Shubayqa 1
Shubayqa 6	Shubayqa 6
Shulaveri	Shulaveri
Shunera 2	Shunera 2
Shunera 21	Shunera 21
Shunera 3	Shunera 3
Shunera 4	Shunera 4
Shunera 6	Shunera 6
Sihi	Sihi
Sihi	Sihi, Tihama
Silo Site	Silo Site
Silo Site	Silo Site, Golan
Simaisma	Simaisma
Sotira Teppes	Sotira Teppes
Surezha	Surezha
Susa	Susa
TBAS 102	TBAS 102
Tabaqat al-Buma	Tabaqat al-Buma
Tal-e Kureh	Tal-e Kureh
Tal-i Iblis	Tal-i Iblis
Tal-i Malyan	Tal-I Malyan
Tal-i Malyan	Tal-i Malyan
Tall-e Mushki	Tall-e Mushki
Tall-e Mushki	Tall-i Mushki
Tall-i Bakun A	Tall-i Bakun A
Tall-i Bakun B	Tall-i Bakun B
Tall-i Gap	Tall i-Gap
Tall-i Gap	Tall-i Gap
Tall-i Ghazir	Tall-i Ghazir
Tall-i Ghazir	Tll-i Ghazir
Tangeh Bolaghi	Tangeh Bolaghi
Tbeik	Tbeik
Tel 'Ali	Tel 'Ali
Tel Dover	Tel Dover
Tel Hanan	Tel Hanan
Tel Kones	Tel Kones
Tel Qadesh Barnea	Tel Qadesh Barnea
Tel Sheva 36	Tel Sheva 36
Tel Tsaf	Tel Tsaf
