canon	variant
Zahrat adh-Dhra 2	Zahrat adh-Dhra 2
Zahrat adh-Dhra 2	Zahrat adh-Dhra' 2
Zaquma	Zaquma
Zawi Chemi Shanidar	Zawi Chemi Shanidar
Zhinvali	Zhinvali
Çadir Höyük	Çadir Höyük
Çatalhöyük	Çatalhöyük
Çatalhöyük	Çatalhöyük East
Çatalhöyük	Çatalhöyük West
Çayönü	Cayonu (CA1a)
Çayönü	Cayonu (CA1b)
Çayönü	Cayonu (CA1b/c)
Çayönü	Cayonu (CA1c)
Çayönü	Cayonu (CA1d)
Çayönü	Cayonu (CAY_PN)
Çayönü	Çayönü
Çayönü	Çayönü Tepesi
Çukuriçi Höyük	Çukuriçi Höyük
Öküzini	Öküzini 
Öküzini	Öküzini cave
Şehzade Höyük	Sehzade Höyük / Turlu
Şehzade Höyük	Şehzade Höyük
Šulaveris-Gora I	Šulaveris-Gora I
Šulaveris-Gora II	Šulaveris-Gora II
